CT Description,Thickness,sq ft cost
"White",0.25,0.3453
"Maple",0.25,0.4100
"Windswept Pewter",0.25,0.9538
"Windswept Bronze",0.25,0.9194
"Carmel Apple",0.25,0.4466
"Wild Apple",0.25,0.4466
"Chocolate Apple",0.25,0.4466
"Folkstone Gray",0.25,0.4866
"Antique White",0.25,0.4313
"Raw Particleboard",0.75,0.4513
"White",0.75,0.6109
"Maple/White",0.75,0.7206
"Maple",0.75,0.7834
"Windswept Pewter/White",0.75,0.8650
"Windswept Bronze/White",0.75,0.8350
"Windswept Pewter",0.75,1.0300
"Windswept Bronze",0.75,1.0000
"Carmel Apple",0.75,0.8944
"Wild Apple",0.75,0.8944
"Chocolate Apple",0.75,0.8944
"Folkstone Gray",0.75,0.7053
"Antique White",0.75,0.8000
"White",1.00,0.8350
"Raw Particleboard",1.00,0.5584
